Channel Title,Channel Username,ID,Message,Date,Media Path
ABAY MART ዓባይ ገበያ,@abaymart,7469,"👍እንያመልጥዎት!!!
🔴ኑሮዎን ያዘምኑ! INTEX በአየር የሚሞሉ ፍራሽ፣ አልጋ፣ ሶፋና የህፃናት መጫዎቻዎች! በተለያዬ ዲዛይንና መጠን፤ በብዛትም ሆነ በፍሬ ይዘዙን፤ ያሉበት እናደርሳለን 

🔴- lntex የአሜሪካ ብራንድ ሲሆን ስታንዳርዱ የአውሮፓ ነው
🔴- በተለይ ለእንግዳ፣ ለጠባብ ቤት፣ ለጉዞ፣  ለስራ ቦታ፣ ለሆስፒታል ተመራጭ ነው
🔴- የፍራሹ የውስጠኛው ክፍል በሺዎች በሚቆጠሩ የፖሊስተር- ፋይበር ክሮች ውጤት ነው
🔴-ለቤት ውስጥ እና ከቤት ውጭ ከቦታ ቦታ አንቀሳቅሶ ለመጠቀም ምቹ  ነው
🔴- እስከ 272KG መሸከም ይችላል
🔴-ኤሌትሪክ ፓምፕ በቀላሉ መሙላትና ማተንፈስ ይችላሉ።

ያሉት ሳይዞች ዝርዝር (ስፋት x ቁመት x ከፍታ)
1.65x84cmx79cm👉8,900ብር
1.27x1.93x24cm👉10,500ብር
72x1.89x20cm👉6,500ብር
(99x191x25)cm [በማኑዋል ፓምፕ] 👉 7,500 ብር
(99x191x25)cm [በኤሌክትሪክ ፓምፕ] 👉 9,000 ብር
(137x191x25)cm👉13,000ብር(በማኑዋል ፓምፕ)
(107x168x25)cm 👉 8,500 ብር (የልጆች)
(76x191x17)cm    👉 8,600 ብር
(152x203x36)cm 👉 14,500ብር
(76x1.91x25)cm [በማኑዋል ፓምፕ]👉5,500ብር
(76x1.91x25)cm [በኤሌክትሪክ ፓምፕ👉7,500ብር
(152x203x46)cm 👉 26,000ብር
(152x203x56)cm 👉 26,000ብር
(152x203x51)cm👉26,500ብር
(152x2.03x25)cm👉14,500ብር
(1.83x2.03x25)cm
☝️ፎቷቸውን ለማየት ፅሁፉን ይንኩ☝️

ቴሌግራም ቻናላችንን ይቀላቀሉ
t.me/abaymart
አባይ ማርት ኑሮዎን ያዘምኑ ያቅልሉ።

በተለያዬ ዲዛይንና መጠን፤ በብዛትም ሆነ በፍሬ ይዘዙን፤ 


አባይ ገበያ፤ ምርጥ ምርጡን ለናንተ!!!",2024-09-28 18:22:46+00:00,photos\@abaymart_7469.jpg
ABAY MART ዓባይ ገበያ,@abaymart,7468,⚡🕖🔤🔤🔤🔤😚😄✔️,2024-09-28 09:56:43+00:00,
ABAY MART ዓባይ ገበያ,@abaymart,7467,"💥MULTIFUNCTIONAL RUBIC CUBE FAST CHARGER SOCKET

🔴ፈጣን Usb ቻርጀር!
🔴በፈለግነው ሰዓት ሞልተንለት በራሱ ሰዓቱ ሲደርስ  ቻርጅ የሚያቆም አስተማማኝ ፈጣን ቻርጀር!
🔴ባለ ሁለት ኬብልና አንድ type-c ቻርጅ ማድረጊያ ያለው!
🔴250v_10A
🔴2,500W

🔤timing socet converter usb
🔤Fast charging extension plug
🔤Board with automatic power off
አድራሻ:
✔️ቁጥር 1:- መገናኛ ሲቲ ሞል 3ኛ ፎቅ
✔️ቁጥር 2:- ፒያሳ ሰባራ ባቡር፤ አናኒያ ቢዝነስ ሴንተር 3ኛ ፎቅ

ስልክ:
📞0980323232
📞 0909858687 መገናኛ branch
📞 0913892969 ፒያሳ branch
📞0945441010 ፒያሳ branch
ለወዳጅ ዘመድዎ ሼር በማድረግ ውለታ ይዋሉላቸው!!!!!
✅ABAY MART : ቤተሰብ ለመሆን
✅ABAY KIDS : የህጻናት እቃዎችን ለማግኘት
✅ABAY MART ፌስቡክ ገጻችን
ትእዛዝ አስተያየትና ጥያቄዎትን ይህን በመጫን👈 ያስቀምጡልን",2024-09-28 09:55:31+00:00,photos\@abaymart_7467.jpg
ABAY MART ዓባይ ገበያ,@abaymart,7466,,2024-09-28 09:54:09+00:00,
ABAY MART ዓባይ ገበያ,@abaymart,7465,"💥S9 pro SMART WATCH
🔴Battery capacity:220MAH
🔴Screen resolution:420x485
🔴Screen display:2.2 inches HD
🔴compability system:Android 5.0/ios10.0
🔴Bracelet memory:128m
🔴Bt version:5.3
አድራሻ:
✔️ቁጥር 1:- መገናኛ ሲቲ ሞል 3ኛ ፎቅ
✔️ቁጥር 2:- ፒያሳ ሰባራ ባቡር፤ አናኒያ ቢዝነስ ሴንተር 3ኛ ፎቅ

ስልክ:
📞0980323232
📞 0909858687 መገናኛ branch
📞 0913892969 ፒያሳ branch
📞0945441010 ፒያሳ branch
ለወዳጅ ዘመድዎ ሼር በማድረግ ውለታ ይዋሉላቸው!!!!!
✅ABAY MART : ቤተሰብ ለመሆን
✅ABAY KIDS : የህጻናት እቃዎችን ለማግኘት
✅ABAY MART ፌስቡክ ገጻችን
ትእዛዝ አስተያየትና ጥያቄዎትን ይህን በመጫን👈 ያስቀምጡልን",2024-09-28 09:53:47+00:00,photos\@abaymart_7465.jpg
ABAY MART ዓባይ ገበያ,@abaymart,7464,"💥NECK BAND WIRELESS EARPHONE
🔴high quality base
🔴Clear mic record 
🔴Easy and comfortable
አድራሻ:
✔️ቁጥር 1:- መገናኛ ሲቲ ሞል 3ኛ ፎቅ
✔️ቁጥር 2:- ፒያሳ ሰባራ ባቡር፤ አናኒያ ቢዝነስ ሴንተር 3ኛ ፎቅ

ስልክ:
📞0980323232
📞 0909858687 መገናኛ branch
📞 0913892969 ፒያሳ branch
📞0945441010 ፒያሳ branch
ለወዳጅ ዘመድዎ ሼር በማድረግ ውለታ ይዋሉላቸው!!!!!
✅ABAY MART : ቤተሰብ ለመሆን
✅ABAY KIDS : የህጻናት እቃዎችን ለማግኘት
✅ABAY MART ፌስቡክ ገጻችን
ትእዛዝ አስተያየትና ጥያቄዎትን ይህን በመጫን👈 ያስቀምጡልን",2024-09-28 04:31:29+00:00,photos\@abaymart_7464.jpg
ABAY MART ዓባይ ገበያ,@abaymart,7463,😔😚🧳🆒🥲✔️,2024-09-26 10:35:20+00:00,
ABAY MART ዓባይ ገበያ,@abaymart,7462,"💥SPORT ARM BAND
🔴እጅ ላይ ሚደረግ ስልክ መያዣ!
🔴ለጂም ቤት ስፓርት እየሰራን ምንጠቀመው!
🔴ሩጫ አልያም ሳይክል እየነዳን ስልክ ለማውራትና ለማዳመጥ የሚያስችለን!
🔴ተለጣጭ በመሆኑ ለሁሉም አይነት ስልክ የሚይዝ!
አድራሻ:
✔️ቁጥር 1:- መገናኛ ሲቲ ሞል 3ኛ ፎቅ
✔️ቁጥር 2:- ፒያሳ ሰባራ ባቡር፤ አናኒያ ቢዝነስ ሴንተር 3ኛ ፎቅ

ስልክ:
📞0980323232
📞 0909858687 መገናኛ branch
📞 0913892969 ፒያሳ branch
📞0945441010 ፒያሳ branch
ለወዳጅ ዘመድዎ ሼር በማድረግ ውለታ ይዋሉላቸው!!!!!
✅ABAY MART : ቤተሰብ ለመሆን
✅ABAY KIDS : የህጻናት እቃዎችን ለማግኘት
✅ABAY MART ፌስቡክ ገጻችን
ትእዛዝ አስተያየትና ጥያቄዎትን ይህን በመጫን👈 ያስቀምጡልን",2024-09-26 10:33:35+00:00,photos\@abaymart_7462.jpg
ABAY MART ዓባይ ገበያ,@abaymart,7461,,2024-09-26 10:31:46+00:00,
ABAY MART ዓባይ ገበያ,@abaymart,7460,"💥KNEE,WRIST AND ELBOW PAD
🔴የሳይክል አልያም ስኬት ቦርድ አደጋ መከላከያ!
🔴ለእጅ፣ለክድን እና ጉልበት የሚሆን!
➡️Color: blue
🔤Wrist Pads: 14 x 10 cm 
🔤Elbow pads: 10 x 11 cm
🔤Knee pads: 13 x 11 cm 

Suitable for:
🔴Skateboarding
🔴Bike Tour
🔴BMX Bike
🔴Cycling
አድራሻ:
✔️ቁጥር 1:- መገናኛ ሲቲ ሞል 3ኛ ፎቅ
✔️ቁጥር 2:- ፒያሳ ሰባራ ባቡር፤ አናኒያ ቢዝነስ ሴንተር 3ኛ ፎቅ

ስልክ:
📞0980323232
📞 0909858687 መገናኛ branch
📞 0913892969 ፒያሳ branch
📞0945441010 ፒያሳ branch
ለወዳጅ ዘመድዎ ሼር በማድረግ ውለታ ይዋሉላቸው!!!!!
✅ABAY MART : ቤተሰብ ለመሆን
✅ABAY KIDS : የህጻናት እቃዎችን ለማግኘት
✅ABAY MART ፌስቡክ ገጻችን
ትእዛዝ አስተያየትና ጥያቄዎትን ይህን በመጫን👈 ያስቀምጡልን",2024-09-26 10:31:23+00:00,photos\@abaymart_7460.jpg
