,Channel Title,Channel Username,ID,Message,Date,Media Path
1,Dubai in Addis,@dubaiinaddis1,31394,"የ 1 አመት ሳይዝ 

1500 ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:52:24+00:00,photos\@dubaiinaddis1_31394.jpg
3,Dubai in Addis,@dubaiinaddis1,31392,"ዘናጭ 2 ፒስ

ከ3-6 እና ከ 6-9  ወር 


1500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:46:21+00:00,photos\@dubaiinaddis1_31392.jpg
5,Dubai in Addis,@dubaiinaddis1,31390,"ዘናጭ 2 ፒስ

ከ9 ወር- 3 አመት ሳይዝ አለዉ

ለልደትም ሆነ ለፕሮግራም

1800  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:38:32+00:00,photos\@dubaiinaddis1_31390.jpg
7,Dubai in Addis,@dubaiinaddis1,31388,"3 ፒስ 100%  ኮተን የአራስ ልብስ

ኮፍያ 
የዳይፐር ቲሸርት
ሱሪ

ከ3-6 ወር

1250  ብር


0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:32:01+00:00,photos\@dubaiinaddis1_31388.jpg
8,Dubai in Addis,@dubaiinaddis1,31387,"3 ፒስ 100%  ኮተን የአራስ ልብስ

ኮፍያ 
የዳይፐር ቲሸርት
እግረ ሙሉ ሱሪ

ከ3-6 ወር

1250  ብር


0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:29:47+00:00,photos\@dubaiinaddis1_31387.jpg
10,Dubai in Addis,@dubaiinaddis1,31385,"3 ፒስ 100%  ኮተን የአራስ ልብስ

ኮፍያ 
የዳይፐር ቲሸርት
እግረ ሙሉ ሱሪ

ከ6-9 ወር

1250  ብር


0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:29:02+00:00,photos\@dubaiinaddis1_31385.jpg
12,Dubai in Addis,@dubaiinaddis1,31383,"3 ፒስ 100%  ኮተን የአራስ ልብስ

ኮፍያ 
የዳይፐር ቲሸርት
እግረ ሙሉ ሱሪ

ከ3-6 ወር

1250  ብር


0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:26:30+00:00,photos\@dubaiinaddis1_31383.jpg
14,Dubai in Addis,@dubaiinaddis1,31381,"3 ፒስ 100%  ኮተን የአራስ ልብስ

ኮፍያ 
የዳይፐር ቲሸርት
እግረ ሙሉ ሱሪ

ከ0-3 ወር

1250  ብር


0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:25:15+00:00,photos\@dubaiinaddis1_31381.jpg
16,Dubai in Addis,@dubaiinaddis1,31379,"3 ፒስ 100%  ኮተን የአራስ ልብስ

ኮፍያ 
የዳይፐር ቲሸርት
እግረ ሙሉ ሱሪ

ከ6-9 ወር

1250  ብር


0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:23:56+00:00,photos\@dubaiinaddis1_31379.jpg
18,Dubai in Addis,@dubaiinaddis1,31377,"3 ፍሬ  ጀምሱት

ከ 6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:19:24+00:00,photos\@dubaiinaddis1_31377.jpg
19,Dubai in Addis,@dubaiinaddis1,31376,"3 ፍሬ  ጀምሱት

ከ3-6 ወር እና ከ 6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:17:27+00:00,photos\@dubaiinaddis1_31376.jpg
20,Dubai in Addis,@dubaiinaddis1,31375,"3 ፍሬ  ጀምሱት

ከ3-6 ወር እና ከ 6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 14:15:32+00:00,photos\@dubaiinaddis1_31375.jpg
25,Dubai in Addis,@dubaiinaddis1,31370,"High quality የዳይፐር ቲሸርት 

 3 ፍሬ 

ከ6-9 ወር 

1800 ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-27 12:53:54+00:00,photos\@dubaiinaddis1_31370.jpg
26,Dubai in Addis,@dubaiinaddis1,31369,ውድ የ Dubai in Addis ቤተሰቦቻችን  እንኳን ለብርሃነ መስቀሉ በሰላም አደረሳችሁ ::,2024-09-26 17:55:33+00:00,photos\@dubaiinaddis1_31369.jpg
28,Dubai in Addis,@dubaiinaddis1,31367,"መቀመጫ  ያለው  የልጆች ማዘያ

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-26 14:38:51+00:00,photos\@dubaiinaddis1_31367.jpg
31,Dubai in Addis,@dubaiinaddis1,31364,"ከ 6 ወር ጀምሮ ላሉ ልጆች መመገቢያ 
1 ባለ 3 ፓርቲሽን ሰፊ ሰሐን 
1 ክዳን ያለው  ጎድጓዳ ሰሐን 
1 መጠጫ  እና ሹካ እና ማንኪያ 

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 09:51:40+00:00,photos\@dubaiinaddis1_31364.jpg
33,Dubai in Addis,@dubaiinaddis1,31362,"ከ 6 ወር ጀምሮ ላሉ ልጆች መመገቢያ 
1 ባለ 3 ፓርቲሽን ሰፊ ሰሐን 
1 ክዳን ያለው  ጎድጓዳ ሰሐን 
1 መጠጫ  እና ሹካ እና ማንኪያ 

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 09:51:22+00:00,photos\@dubaiinaddis1_31362.jpg
35,Dubai in Addis,@dubaiinaddis1,31360,"ከ 6 ወር ጀምሮ ላሉ ልጆች መመገቢያ 
1 ባለ 3 ፓርቲሽን ሰፊ ሰሐን 
1 ክዳን ያለው  ጎድጓዳ ሰሐን 
1 መጠጫ  እና ሹካ እና ማንኪያ 

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 09:50:14+00:00,photos\@dubaiinaddis1_31360.jpg
37,Dubai in Addis,@dubaiinaddis1,31358,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 09:02:38+00:00,photos\@dubaiinaddis1_31358.jpg
38,Dubai in Addis,@dubaiinaddis1,31357,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 08:56:00+00:00,photos\@dubaiinaddis1_31357.jpg
39,Dubai in Addis,@dubaiinaddis1,31356,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 08:51:35+00:00,photos\@dubaiinaddis1_31356.jpg
40,Dubai in Addis,@dubaiinaddis1,31355,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 08:50:30+00:00,photos\@dubaiinaddis1_31355.jpg
41,Dubai in Addis,@dubaiinaddis1,31354,"ፍላኔል( የአራስ ልጆች መቀበያ)

4 ፍሬ ( 1 እሽግ)

1000 ብር 

0913870090

ለማዘዝ 

@KiDu_W",2024-09-25 08:27:09+00:00,photos\@dubaiinaddis1_31354.jpg
42,Dubai in Addis,@dubaiinaddis1,31353,"3 ፍሬ  ጀምሱት

ከ3-6 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-25 08:20:18+00:00,photos\@dubaiinaddis1_31353.jpg
43,Dubai in Addis,@dubaiinaddis1,31352,"ቦርሳ  በ አዲስ ዲዛይን ‼

ትልቅ ሳይዝ  ዘመናዊ  ለማዘር ባግ , ለጉዞ ,ለጂም ..

ባለ ብዙ ፓርቲሽን እና የራሱ ማራዘሚያ ያለው 

1600  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 14:05:36+00:00,photos\@dubaiinaddis1_31352.jpg
44,Dubai in Addis,@dubaiinaddis1,31351,"ቦርሳ  በ አዲስ ዲዛይን ‼

ትልቅ ሳይዝ  ዘመናዊ  ለማዘር ባግ , ለጉዞ ,ለጂም ..

ባለ ብዙ ፓርቲሽን እና የራሱ ማራዘሚያ ያለው 

1600  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 14:04:57+00:00,photos\@dubaiinaddis1_31351.jpg
45,Dubai in Addis,@dubaiinaddis1,31350,"ቦርሳ  በ አዲስ ዲዛይን ‼

ትልቅ ሳይዝ  ዘመናዊ  ለማዘር ባግ , ለጉዞ ,ለጂም ..

ባለ ብዙ ፓርቲሽን እና የራሱ ማራዘሚያ ያለው 

1600  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 14:01:13+00:00,photos\@dubaiinaddis1_31350.jpg
46,Dubai in Addis,@dubaiinaddis1,31349,"ቦርሳ  በ አዲስ ዲዛይን ‼

ትልቅ ሳይዝ  ዘመናዊ  ለማዘር ባግ , ለጉዞ ,ለጂም ..

ባለ ብዙ ፓርቲሽን እና የራሱ ማራዘሚያ ያለው 

1600  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 13:59:28+00:00,photos\@dubaiinaddis1_31349.jpg
47,Dubai in Addis,@dubaiinaddis1,31348,"ቦርሳ  በ አዲስ ዲዛይን ‼

ትልቅ ሳይዝ  ዘመናዊ  ለማዘር ባግ , ለጉዞ ,ለጂም ..

ባለ ብዙ ፓርቲሽን እና የራሱ ማራዘሚያ ያለው 

1600  ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 13:57:03+00:00,photos\@dubaiinaddis1_31348.jpg
49,Dubai in Addis,@dubaiinaddis1,31346,"መጠቅለያ እና ኮፍያ

650 ብር

0913870090

ለማዘዝ 

@KiDu_W",2024-09-24 13:43:02+00:00,photos\@dubaiinaddis1_31346.jpg
51,Dubai in Addis,@dubaiinaddis1,31344,"Swaddle (እግር ማስገቢያ ያለው የአራስ ልጆች መጠቅለያ)

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 13:40:19+00:00,photos\@dubaiinaddis1_31344.jpg
52,Dubai in Addis,@dubaiinaddis1,31343,"3 ፍሬ  ጀምሱት

ከ12-18 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 13:30:07+00:00,photos\@dubaiinaddis1_31343.jpg
53,Dubai in Addis,@dubaiinaddis1,31342,"5 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 6-9 ወር

2000 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-24 13:27:00+00:00,photos\@dubaiinaddis1_31342.jpg
54,Dubai in Addis,@dubaiinaddis1,31341,"3 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 12-18 ወር

1200 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-24 13:21:07+00:00,photos\@dubaiinaddis1_31341.jpg
55,Dubai in Addis,@dubaiinaddis1,31340,"3 ፍሬ እጅጌ ጉርድ የዳይፐር ቲሸርት

ከ 6-9 ወር

1200 ብር

0913870090

ለማዘዝ 


@KiDu_W",2024-09-24 13:18:10+00:00,photos\@dubaiinaddis1_31340.jpg
56,Dubai in Addis,@dubaiinaddis1,31339,"6 pcs baby food feeder set

1 ጠረጴዛ ላይ የሚጣበቅ ሰሀን 
1 ማንኪያ    
1 ማጫዎቻ ያለውየፍሩት ፊደር    
1 የእንጀራ  እናት አንገት ላይ ማንጠልጠያ  
1 ምግብ ማላሚያ መፍጫ   
1 ምግብ ስንፈጭ የምንጠቀምበት ጎድጓዳ ሳህን   

1200ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-24 13:08:33+00:00,photos\@dubaiinaddis1_31339.jpg
57,Dubai in Addis,@dubaiinaddis1,31338,"6 pcs baby food feeder set

1 ጠረጴዛ ላይ የሚጣበቅ ሰሀን 
1 ማንኪያ    
1 ማጫዎቻ ያለውየፍሩት ፊደር    
1 የእንጀራ  እናት አንገት ላይ ማንጠልጠያ  
1 ምግብ ማላሚያ መፍጫ   
1 ምግብ ስንፈጭ የምንጠቀምበት ጎድጓዳ ሳህን   

1200ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-23 18:34:11+00:00,photos\@dubaiinaddis1_31338.jpg
59,Dubai in Addis,@dubaiinaddis1,31336,"13 የጤና መጠበቂያዎችን የያዘ ኪት

ማበጠሪያ , ብሩሽ , የሙቀት መለኪያ, የጥፍር መቁረጫ , ሞረድ , የመድኃኒት መስጫ , የድድ ማፅጃ , መቀስ , የውሀ ሙቀት መለኪያ , የጆሮ  ማፅጃ , 
ከአፍንጫ ዉስጥ ፈሳሽ ማዉጫ እና ተጨማሪ እቃዎችን የያዘ

1000 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-22 17:14:39+00:00,photos\@dubaiinaddis1_31336.jpg
60,Dubai in Addis,@dubaiinaddis1,31335,"Only  baby New born Gift pack 

3 ጡጦ በተለያየ ሳይዝ
125 ML, 260ML,330ML

የጡጦ ማጠብያ  ብሩሽ

ከአፍንጫ ዉስጥ ፈሳሽ ማዉጫ

የእንጀራ እናት

የድድ ማፅጃ

2000ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-22 17:02:35+00:00,photos\@dubaiinaddis1_31335.jpg
65,Dubai in Addis,@dubaiinaddis1,31330,"Only baby ጡጦ ማሞቅያ እና መቀቀያ

በ1 ጊዜ  2 ጡጦ  የሚይዝ

2800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-21 10:14:01+00:00,photos\@dubaiinaddis1_31330.jpg
68,Dubai in Addis,@dubaiinaddis1,31327,"Chicco የልጆች መያዣ እና ማስተኛ
እስከ 9 ኪሎ መያዝ የሚችል

3200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-20 18:04:32+00:00,photos\@dubaiinaddis1_31327.jpg
75,Dubai in Addis,@dubaiinaddis1,31320,"ይህንን ዘመናዊ የልጆች አልጋ ያዘዛችሁ ደንበኞቻችን  ገብቷል። 


0913870090

ለማዘዝ

@KiDu_W",2024-09-20 14:33:28+00:00,photos\@dubaiinaddis1_31320.jpg
76,Dubai in Addis,@dubaiinaddis1,31319,"ተጣጣፊ የልጆች ዛንዚራ(አጎበር)

1500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-20 11:02:22+00:00,photos\@dubaiinaddis1_31319.jpg
78,Dubai in Addis,@dubaiinaddis1,31317,"2 ፍሬ  100% ኮተን ኮፍያ

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 17:23:39+00:00,photos\@dubaiinaddis1_31317.jpg
80,Dubai in Addis,@dubaiinaddis1,31315,"2 ፍሬ  100% ኮተን ኮፍያ

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 17:23:07+00:00,photos\@dubaiinaddis1_31315.jpg
82,Dubai in Addis,@dubaiinaddis1,31313,"2 ፍሬ  100% ኮተን ኮፍያ

600 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 17:22:28+00:00,photos\@dubaiinaddis1_31313.jpg
84,Dubai in Addis,@dubaiinaddis1,31311,"3 ፍሬ  ሱሪ

ከ 3-6 ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 10:02:07+00:00,photos\@dubaiinaddis1_31311.jpg
85,Dubai in Addis,@dubaiinaddis1,31310,"3 ፍሬ  ሱሪ

ከ 0-3  ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:59:00+00:00,photos\@dubaiinaddis1_31310.jpg
86,Dubai in Addis,@dubaiinaddis1,31309,"3 ፍሬ  ሱሪ

ከ 0-3  ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:53:11+00:00,photos\@dubaiinaddis1_31309.jpg
87,Dubai in Addis,@dubaiinaddis1,31308,"3 ፍሬ  ሱሪ

ከ 3-6 ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:48:52+00:00,photos\@dubaiinaddis1_31308.jpg
88,Dubai in Addis,@dubaiinaddis1,31307,"3 ፍሬ  ሱሪ

ከ 0-3  ወር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:43:02+00:00,photos\@dubaiinaddis1_31307.jpg
90,Dubai in Addis,@dubaiinaddis1,31305,"ተጣጣፊ የገላ ማጠብያ
ከእስፖንጁ ጋር
ትልቅ ሳይዝ

ሁሉንም በ 4000 ብር ብቻ 

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 09:34:32+00:00,photos\@dubaiinaddis1_31305.jpg
91,Dubai in Addis,@dubaiinaddis1,31304,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:34:16+00:00,photos\@dubaiinaddis1_31304.jpg
92,Dubai in Addis,@dubaiinaddis1,31303,"3 ፍሬ  ጀምሱት

ከ0-3 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:31:27+00:00,photos\@dubaiinaddis1_31303.jpg
93,Dubai in Addis,@dubaiinaddis1,31302,"3 ፍሬ  ጀምሱት

ከ9-12 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:28:31+00:00,photos\@dubaiinaddis1_31302.jpg
94,Dubai in Addis,@dubaiinaddis1,31301,"3 ፍሬ  ጀምሱት

ከ9-12 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:23:16+00:00,photos\@dubaiinaddis1_31301.jpg
95,Dubai in Addis,@dubaiinaddis1,31300,"3 ፍሬ  ጀምሱት

ከ6-9 ወር

2200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-19 08:17:33+00:00,photos\@dubaiinaddis1_31300.jpg
